,News Outlet,User,Date,Tweet,Compound,Positive,Neutral,Negative,Tweet Ago
0,@BBC,Nnaoma 🇳🇬,Sat Mar 10 22:40:28 +0000 2018,RT @ronanmcmanus: @BBC  https://t.co/81uBA7v4TF,0.0,0.0,0.0,1.0,1
1,@BBC,Lluís Mundet 🎗🇧🇪🇨🇭,Sat Mar 10 22:40:26 +0000 2018,"RT @BBC: 🙌 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",0.4404,0.209,0.0,0.791,2
2,@BBC,Roberto Encinas,Sat Mar 10 22:40:26 +0000 2018,"RT @BBC: 🙌 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",0.4404,0.209,0.0,0.791,3
3,@BBC,Bill Glick,Sat Mar 10 22:40:25 +0000 2018,"RT @BBC: 🙌 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",0.4404,0.209,0.0,0.791,4
4,@BBC,Richard de Give,Sat Mar 10 22:40:24 +0000 2018,"RT @BBC: 🙌 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",0.4404,0.209,0.0,0.791,5
5,@BBC,JΞSSICΔ,Sat Mar 10 22:40:24 +0000 2018,"RT @BBC: 🙌 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",0.4404,0.209,0.0,0.791,6
6,@BBC,A humble bitch,Sat Mar 10 22:40:22 +0000 2018,"RT @BBC: 🙌 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",0.4404,0.209,0.0,0.791,7
7,@BBC,nicole forsgren,Sat Mar 10 22:40:22 +0000 2018,"RT @BBC: 🙌 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",0.4404,0.209,0.0,0.791,8
8,@BBC,Isla Keys,Sat Mar 10 22:40:21 +0000 2018,RT @ronanmcmanus: @BBC  https://t.co/81uBA7v4TF,0.0,0.0,0.0,1.0,9
9,@BBC,AB,Sat Mar 10 22:40:20 +0000 2018,"RT @BBC: 🙌 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",0.4404,0.209,0.0,0.791,10
10,@BBC,Gavin Jaunky,Sat Mar 10 22:40:20 +0000 2018,"RT @BBC: 🙌 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",0.4404,0.209,0.0,0.791,11
11,@BBC,Lccvc_photog.,Sat Mar 10 22:40:19 +0000 2018,"RT @BBC: 🙌 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",0.4404,0.209,0.0,0.791,12
12,@BBC,Josh Stokes,Sat Mar 10 22:40:18 +0000 2018,"RT @BBC: 🙌 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",0.4404,0.209,0.0,0.791,13
13,@BBC,Max Mortimer,Sat Mar 10 22:40:17 +0000 2018,"RT @BBC: 🙌 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",0.4404,0.209,0.0,0.791,14
14,@BBC,Nnaoma 🇳🇬,Sat Mar 10 22:40:16 +0000 2018,"RT @BBC: 🙌 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",0.4404,0.209,0.0,0.791,15
15,@BBC,Timothy Malone,Sat Mar 10 22:40:16 +0000 2018,"RT @BBC: 🙌 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",0.4404,0.209,0.0,0.791,16
16,@BBC,Meruem_,Sat Mar 10 22:40:15 +0000 2018,"RT @BBC: 🙌 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",0.4404,0.209,0.0,0.791,17
17,@BBC,hey jules,Sat Mar 10 22:40:14 +0000 2018,"RT @BBC: 🙌 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",0.4404,0.209,0.0,0.791,18
18,@BBC,Zaعbur,Sat Mar 10 22:40:12 +0000 2018,RT @Partisangirl: Hah @BBC re-uses photo of little Omran for #Ghouta even after it came out that the rebels attacked his house to use him i…,-0.5859,0.0,0.167,0.833,19
19,@BBC,Not A Troll,Sat Mar 10 22:40:10 +0000 2018,"RT @BBC: 🙌 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",0.4404,0.209,0.0,0.791,20
20,@BBC,Mark McLaughlin,Sat Mar 10 22:40:09 +0000 2018,"RT @BBC: 🙌 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",0.4404,0.209,0.0,0.791,21
21,@BBC,Ian,Sat Mar 10 22:40:08 +0000 2018,"RT @BBC: 🙌 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",0.4404,0.209,0.0,0.791,22
22,@BBC,BK Logan,Sat Mar 10 22:40:08 +0000 2018,"RT @BBC: 🙌 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",0.4404,0.209,0.0,0.791,23
23,@BBC,Isla Keys,Sat Mar 10 22:40:07 +0000 2018,"RT @BBC: 🙌 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",0.4404,0.209,0.0,0.791,24
24,@BBC,Ben Walsh,Sat Mar 10 22:40:06 +0000 2018,RT @lamb_heart_tea: The inspiring @RogersHistory being a dude and not only sharing his wisdom but the great @TMHistoryIcons next wk.big hig…,0.8436,0.356,0.061,0.584,25
25,@BBC,Andrii Shulga,Sat Mar 10 22:40:06 +0000 2018,"RT @BBC: 🙌 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",0.4404,0.209,0.0,0.791,26
26,@BBC,Lisa Magill,Sat Mar 10 22:40:04 +0000 2018,"RT @BBC: 🙌 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",0.4404,0.209,0.0,0.791,27
27,@BBC,Sean K Stafford,Sat Mar 10 22:40:02 +0000 2018,RT @ronanmcmanus: @BBC  https://t.co/81uBA7v4TF,0.0,0.0,0.0,1.0,28
